
coding,math,creativity,communication,gpa,career
9,9,5,4,8.8,AI Engineer
8,9,6,5,8.5,Data Scientist
7,8,6,6,8.0,Machine Learning Engineer
8,7,5,6,7.9,Backend Developer
7,7,7,7,7.8,Software Developer
6,6,8,8,7.5,Web Developer
5,5,9,8,7.2,UI/UX Designer
4,5,9,9,7.0,UI/UX Designer
3,4,8,9,6.8,Digital Marketer
4,4,8,9,6.9,Content Creator
9,8,5,5,8.7,AI Engineer
8,8,6,6,8.4,Data Scientist
7,9,5,6,8.2,Machine Learning Engineer
8,7,6,6,8.1,Backend Developer
7,7,7,7,7.9,Software Developer
6,6,8,8,7.6,Web Developer
5,6,9,8,7.4,UI/UX Designer
4,5,8,9,7.1,Digital Marketer
3,4,8,9,6.7,Content Creator
6,5,7,8,7.3,Project Manager
9,9,4,5,8.9,AI Engineer
8,8,5,6,8.6,Data Scientist
7,8,6,7,8.1,Machine Learning Engineer
8,7,5,7,7.9,Backend Developer
7,7,6,7,7.8,Software Developer
6,6,7,8,7.4,Web Developer
5,5,9,9,7.2,UI/UX Designer
4,4,8,9,6.9,Digital Marketer
3,4,9,9,6.8,Content Creator
6,6,7,8,7.3,Product Manager
9,8,5,4,8.7,AI Engineer
8,9,6,5,8.5,Data Scientist
7,8,6,6,8.2,Machine Learning Engineer
8,7,5,6,8.0,Backend Developer
7,7,7,7,7.8,Software Developer
6,6,8,8,7.5,Web Developer
5,5,9,8,7.3,UI/UX Designer
4,5,9,9,7.0,Digital Marketer
3,4,8,9,6.7,Content Creator
6,5,7,8,7.4,Project Manager
9,9,4,4,8.9,AI Engineer
8,8,5,5,8.6,Data Scientist
7,9,6,6,8.3,Machine Learning Engineer
8,7,5,7,8.0,Backend Developer
7,7,6,7,7.8,Software Developer
6,6,7,8,7.6,Web Developer
5,6,9,8,7.4,UI/UX Designer
4,4,8,9,7.0,Digital Marketer
3,5,8,9,6.9,Content Creator
6,6,7,8,7.5,Product Manager
9,8,5,5,8.7,AI Engineer
8,9,6,6,8.4,Data Scientist
7,8,6,7,8.1,Machine Learning Engineer
8,7,5,7,7.9,Backend Developer
7,7,6,7,7.8,Software Developer
6,6,8,8,7.5,Web Developer
5,5,9,9,7.3,UI/UX Designer
4,4,8,9,7.0,Digital Marketer
3,4,8,9,6.8,Content Creator
6,5,7,8,7.4,Project Manager
9,9,5,4,8.8,AI Engineer
8,8,6,5,8.6,Data Scientist
7,9,6,6,8.2,Machine Learning Engineer
8,7,5,6,8.0,Backend Developer
7,7,6,7,7.9,Software Developer
6,6,7,8,7.6,Web Developer
5,6,9,8,7.4,UI/UX Designer
4,5,8,9,7.1,Digital Marketer
3,4,8,9,6.8,Content Creator
6,6,7,8,7.5,Product Manager
9,8,5,5,8.7,AI Engineer
8,9,6,6,8.5,Data Scientist
7,8,6,7,8.2,Machine Learning Engineer
8,7,5,7,8.0,Backend Developer
7,7,6,7,7.8,Software Developer
6,6,8,8,7.5,Web Developer
5,5,9,9,7.3,UI/UX Designer
4,4,8,9,7.0,Digital Marketer
3,4,9,9,6.9,Content Creator
6,5,7,8,7.4,Project Manager
9,9,4,4,8.9,AI Engineer
8,8,5,5,8.6,Data Scientist
7,9,6,6,8.3,Machine Learning Engineer
8,7,5,7,8.1,Backend Developer
7,7,6,7,7.9,Software Developer
6,6,7,8,7.6,Web Developer
5,6,9,8,7.4,UI/UX Designer
4,4,8,9,7.0,Digital Marketer
3,5,8,9,6.9,Content Creator
6,6,7,8,7.5,Product Manager
